Name,Diameter,Lat,Lon,LonE
Palmieri A,20850,-32.25,-48.52,311.48
Shayn Y,20850,35.76,171.69,171.69
Moulton P,20840,-63.75,93.97,93.97
Langrenus Z,20820,-7.18,66.26,66.26
Maksutov U,20820,-40.3,-171.01,188.99
Glaisher E,20810,12.63,49.19,49.19
Roche W,20800,-39.26,131.26,131.26
Langley J,20780,51.63,-85.05,274.95
Rozhdestvenskiy H,20780,83.28,-133.1,226.9
Schluter P,20780,0.05,-85.21,274.79
Billy B,20760,-12.2,-47.67,312.33
Eotvos B,20760,-32.98,135.38,135.38
Hommel S,20750,-56.75,36.13,36.13
Langevin C,20750,46.33,165.48,165.48
Petrie U,20750,45.43,106.58,106.58
Lovell R,20740,-37.62,-144.6,215.4
Lyot F,20730,-52.34,82.34,82.34
Pasteur G,20730,-11.84,106.12,106.12
Manzinus U,20720,-68.65,34.4,34.4
Swann C,20720,52.9,114.28,114.28
McLaughlin Z,20710,52.45,-92.79,267.21
Azophi H,20700,-25.58,11.84,11.84
Gauss A,20700,36.54,82.77,82.77
Tycho W,20690,-43.3,-15.38,344.62
Lebedev F,20680,-47.95,111.28,111.28
Wargentin A,20680,-47.09,-59.2,300.8
Seneca G,20660,29.48,83.23,83.23
Ganskiy S,20650,-10.16,94.74,94.74
Grimaldi D,20650,-3.66,-65.65,294.35
Hume A,20650,-3.84,90.65,90.65
Mutus X,20650,-67.1,36.62,36.62
Hainzel V,20640,-41.28,-38.8,321.2
Sharp B,20620,47.01,-45.35,314.65
Wexler V,20620,-67.97,84.2,84.2
Zupus C,20620,-17.33,-55.18,304.82
Alphonsus K,20600,-12.61,-0.11,359.89
Fizeau C,20590,-56.08,-128.91,231.09
Hendrix M,20590,-48.6,-159.51,200.49
Zucchius E,20590,-61.24,-60.69,299.31
McNally T,20570,22.33,-129.57,230.43
Paraskevopoulos R,20550,48.28,-155.24,204.76
Sacrobosco R,20550,-22.32,15.78,15.78
Cori G,20540,-50.98,-147.87,212.13
Rosenberger J,20540,-53.04,43.26,43.26
Vesalius C,20540,-1.16,116.85,116.85
McClure M,20530,-14.19,51.24,51.24
Alfraganus,20520,-5.42,18.97,18.97
