Name,Diameter,Lat,Lon,LonE
South Pole-Aitken,2500000,-56,180,180
Australe,880000,-52,95,95
Smythii,740000,-2,87,87
Mutus-Vlacq,700000,-52,21,21
Tsiolkovskiy-Stark,700000,-15,128,128
Fecunditatis,690000,-4,52,52
Nubium,690000,-21,-15,345
Lomonosov-Fleming,620000,19,105,105
Freundlich-Sharonov,600000,18.5,175,175
Grissom-White,600000,-44,-161,199
Insularum,600000,9,-18,342
Al-Khwarizmi-King,590000,1,112,112
Marginis,580000,20,84,84
Flamsteed-Billy,570000,-7,-45,315
Ingenii,560000,-43,165,165
Apollo,524230,-35.69,-151.48,208.52
Balmer-Kapteyn,500000,-15,70,70
Keeler-Heaviside,500000,-10,162,162
Werner-Airy,500000,-24,12,12
Coulomb-Sarton,440000,52,-123,237
Lorentz,378420,34.59,-97.19,262.81
Poincare,345990,-56.86,163.99,163.99
Harkhebi,337140,40.87,98.74,98.74
Amundsen-Ganswindt,335000,-81,120,120
Schiller-Zucchius,335000,-56,-45,315
Birkhoff,329810,58.45,-145.65,214.35
Planck,319460,-57.27,135.34,135.34
Pingre-Hausen,300000,-56,-82,278
Gagarin,261830,-19.66,149.35,149.35
Milne,259970,-31,112.78,112.78
Fermi,241410,-19.61,123.24,123.24
Leibnitz,236670,-38.24,179.35,179.35
Pasteur,232770,-11.58,104.91,104.91
Galois,231970,-13.94,-152.99,207.01
Deslandres,227020,-32.55,-5.57,354.43
Campbell,222480,45.57,152.91,152.91
Von Karman M,218980,-49.44,174.95,174.95
Landau,218150,42.16,-119.34,240.66
Poczobutt,212360,57.27,-99.23,260.77
Schickard,212180,-44.38,-55.11,304.89
Janssen,200650,-44.96,40.82,40.82
Von Karman,186350,-44.45,176.25,176.25
Mandel'shtam,181890,5.7,162.39,162.39
Einstein,181470,16.6,-88.65,271.35
Rozhdestvenskiy,181150,84.99,-157.89,202.11
Fabry,179440,43.07,100.68,100.68
Mach,174970,18.13,-149.24,210.76
Grimaldi,173490,-5.38,-68.36,291.64
Joliot,172790,25.79,93.39,93.39
Vertregt,172760,-19.3,171.12,171.12
W. Bond,170530,65.41,3.52,3.52
Heaviside,164460,-10.44,166.77,166.77
Struve,164340,23.41,-76.65,283.35
Richardson,162560,30.93,99.89,99.89
Drygalski,162490,-79.57,-87.18,272.82
Lagrange,162210,-32.6,-71.45,288.55
Lippmann,160070,-55.43,-114.32,245.68
Tsander,159950,5.39,-149.69,210.31
Ashbrook,157680,-81.1,-110.58,249.42
Hedin,157380,2.87,-76.57,283.43
Riccioli,155660,-2.9,-74.42,285.58
Maginus,155580,-50.03,-5.98,354.02
J. Herschel,154440,62.31,-41.86,318.14
Ptolemaeus,153670,-9.16,-1.84,358.16
Lyot,150600,-50.47,84.8,84.8
Babbage,146560,59.56,-57.38,302.62
Jules Verne,145540,-34.85,147.28,147.28
Blackett,145310,-37.55,-115.84,244.16
Hirayama,145210,-6.01,93.63,93.63
Hipparchus,143950,-5.36,4.91,4.91
Vendelinus,141210,-16.46,61.55,61.55
Fowler,139520,42.59,-145.27,214.73
Curie,138870,-23.05,92.28,92.28
Evans Q,138410,-11.21,-136.3,223.7
Langemak N,137930,-13.19,119.12,119.12
Abel,137350,-34.63,85.78,85.78
Minnaert,137310,-67.54,178.57,178.57
Brianchon,137260,74.75,-88.36,271.64
Balmer,136300,-20.27,70.22,70.22
De La Rue,135220,59.02,52.84,52.84
Repsold C,135090,48.73,-73.78,286.22
Furnerius,135030,-36,60.54,60.54
Walther,134230,-33.25,0.62,0.62
Mee,134110,-43.63,-35.19,324.81
Galois Q,133600,-14.85,-154.46,205.54
Lamarck D,131280,-24.9,-74.35,285.65
Stofler,129870,-41.24,5.93,5.93
Avogadro,129840,63.21,165.36,165.36
Stebbins,129740,64.36,-142.64,217.36
Boussingault,127610,-70.21,53.73,53.73
Paschen,127360,-14.06,-140.53,219.47
Szilard,127220,33.71,105.78,105.78
Debye,127030,49.43,-176.03,183.97
Regiomontanus,126640,-28.28,-1.09,358.91
Lagrange R,126590,-31.33,-76.67,283.33
Zwicky,126060,-16.17,167.64,167.64
Le Gentil,125380,-74.27,-76.02,283.98
Heaviside K,124900,-12.91,168.5,168.5
Meton,124700,73.57,19.63,19.63
Weyl,122820,15.97,-120.53,239.47
Messala,122400,39.31,60.06,60.06
Darwin,122180,-19.93,-69.21,290.79
Lebedev,121800,-46.8,107.89,107.89
Klaproth,121370,-69.85,-26.26,333.74
Engel'gardt B,121210,7.8,-158.18,201.82
Orontius,121020,-40.37,-3.96,356.04
Eddington,120130,21.5,-72.02,287.98
Orlov Y,120010,-22.84,-175.37,184.63
Brouwer,119600,-35.82,-124.75,235.25
South,119040,57.58,-50.94,309.06
Petermann R,118380,74.78,55.61,55.61
Riemann,117850,39.38,87.18,87.18
Xenophanes,117570,57.49,-82.01,277.99
Thomson,117250,-32.32,166.04,166.04
Volta,117150,53.9,-84.77,275.23
Barnard,115730,-29.79,85.95,85.95
Nassau F,115370,-25.33,-179.09,180.91
Buisson Z,115350,0.13,113.29,113.29
Goldschmidt,115260,73.04,-3.37,356.63
Purbach,114970,-25.51,-2.03,357.97
Lamarck,114650,-23.12,-70.06,289.94
Emden,114640,62.76,-176.51,183.49
Thomson M,113830,-35.98,166.44,166.44
Rayleigh,113770,29.12,89.45,89.45
Hommel,113600,-54.74,32.93,32.93
Van der Waals,113370,-43.56,119.98,119.98
Flamsteed P,112240,-3.25,-44.25,315.75
Stefan,112180,46.33,-108.77,251.23
Rumford T,111670,-28.54,-172.15,187.85
Helmholtz,110160,-68.64,65.34,65.34
Scheiner,110070,-60.35,-27.81,332.19
Sternfeld,109800,-19.75,-142.27,217.73
H. G. Wells,108900,40.84,122.63,122.63
Repsold,108650,51.31,-78.41,281.59
Hermite,108640,86.17,-93.32,266.68
Levi-Civita,108230,-23.34,143.14,143.14
Ostwald,108130,10.24,121.95,121.95
Amici M,107910,-11.81,-172.02,187.98
Scott,107820,-82.35,48.52,48.52
Minkowski,107510,-56.13,-145.8,214.2
van't Hoff,107300,61.75,-132.68,227.32
Firsov S,104170,3.34,110.27,110.27
Boussingault E,104090,-67.08,46.64,46.64
Lundmark,103440,-38.87,152.56,152.56
Wyld,103400,-1.42,98.1,98.1
Casatus,102850,-72.7,-30.75,329.25
Al-Khwarizmi G,102830,6.76,107.35,107.35
Philolaus G,102680,69.18,-23.82,336.18
Piazzi,102570,-36.16,-68.01,291.99
Bolyai,102220,-33.85,126.12,126.12
Leeuwenhoek E,102110,-28.51,-176.27,183.73
Yablochkov,101490,60.78,127.58,127.58
Wilhelm,100830,-43.21,-20.94,339.06
Ventris,100740,-4.77,157.97,157.97
Gilbert,100250,-3.2,76.16,76.16
Seares,99500,73.74,147.23,147.23
Paraskevopoulos,98870,50.09,-150.34,209.66
Gerard,98780,44.54,-80.51,279.49
Chretien,98630,-46.11,162.99,162.99
Guyot,98280,11.63,117.12,117.12
Philolaus C,98140,71.23,-32.82,327.18
Kondratyuk,97970,-15.33,115.8,115.8
Vestine,97810,33.87,93.68,93.68
Sacrobosco,97670,-23.75,16.64,16.64
Byrd,97490,85.43,10.07,10.07
Schlesinger,97280,47.12,-138.98,221.02
Milne P,97130,-37.47,108.08,108.08
Mitra,97100,17.76,-154.65,205.35
Fra Mauro,96760,-6.06,-16.97,343.03
Anaximander D,96630,65.78,-50.68,309.32
von Bekesy,96250,51.92,126.73,126.73
Longomontanus Z,96130,-49.91,-18,342
Manzinus,95970,-67.51,26.37,26.37
Babcock,95280,4.13,94.14,94.14
Alexander,94800,40.25,13.69,13.69
Koch,94700,-42.13,150.33,150.33
Encke T,94680,3.23,-37.88,322.12
Boguslawsky,94590,-72.9,43.26,43.26
Parenago,94570,25.88,-108.91,251.09
Wiener K,94510,39.26,147.96,147.96
Vetchinkin,94290,9.77,131.08,131.08
Hecataeus K,94140,-19.6,79.69,79.69
Isaev,94100,-17.57,147.49,147.49
Barrow,93820,71.28,7.59,7.59
Berlage,93750,-63.04,-163.61,196.39
Crommelin,93480,-67.46,-147.95,212.05
Dyson Q,93240,59.19,-126.13,233.87
Arnold,93130,66.98,35.83,35.83
Parkhurst,93080,-33.29,103.69,103.69
Shayn,92900,32.52,172.42,172.42
Cockcroft,92160,31.09,-162.91,197.09
Rothmann G,92010,-28.39,24.39,24.39
Legendre K,91910,-29.79,72.21,72.21
Playfair G,91680,-23.99,6.09,6.09
Rosenberger,91650,-55.49,43.15,43.15
Gruemberger,91500,-67.04,-10.3,349.7
Philolaus D,91350,74.37,-27.66,332.34
Abel M,91010,-32.38,83.52,83.52
Hess,90440,-54.47,174.19,174.19
Sirsalis Z,90320,-10.37,-62.04,297.96
Love,90080,-6.33,129.17,129.17
Brenner,90010,-39.09,39.11,39.11
Birmingham,89920,65.12,-10.7,349.3
Short B,89840,-75.89,-5.17,354.83
Leucippus Q,89450,25.7,-119.38,240.62
Baillaud,89440,74.61,37.35,37.35
Roberts,89370,70.66,-174.25,185.75
Vlacq,89210,-53.39,38.69,38.69
Laue,89170,28.29,-97.05,262.95
Moseley,88890,20.95,-90.2,269.8
Lagalla,88780,-44.48,-22.36,337.64
Perepelkin,88740,-9.99,128.8,128.8
Amici U,88730,-8.75,-175.47,184.53
Chandler,88600,43.65,171.76,171.76
Gemma Frisius,88540,-34.33,13.37,13.37
Ibn Firnas,88290,6.83,122.3,122.3
Wurzelbauer,86770,-34.04,-16.06,343.94
Tikhomirov,86430,24.2,161.33,161.33
Meton C,86120,70.45,18.87,18.87
Paracelsus,85880,-22.92,163.44,163.44
Heraclitus,85740,-49.31,6.42,6.42
Desargues,84850,70.25,-73.42,286.58
Julius Caesar,84720,9.17,15.21,15.21
Mezentsev M,84620,68.29,-127.59,232.41
Mezentsev,84510,71.77,-129.64,230.36
Tikhov,83970,61.66,172.29,172.29
Montgolfier,83710,47.06,-160.08,199.92
Von Zeipel,83410,42.19,-141.93,218.07
Mouchez,82780,78.38,-26.82,333.18
Rabbi Levi,82440,-34.78,23.46,23.46
Boole H,82400,61.73,-88.83,271.17
Oresme,82050,-42.61,169.22,169.22
Dellinger,82040,-6.87,140.7,140.7
Sasserides,81740,-39.28,-9.44,350.56
Cabannes,81300,-61.24,-170.21,189.79
Jeans,81130,-55.58,91.51,91.51
Anaximenes,81120,72.49,-44.98,315.02
Hess Z,81100,-52.08,173.71,173.71
Garavito,81050,-47.21,156.78,156.78
Carver M,80420,-45.66,127.43,127.43
Elvey,80210,9.01,-100.64,259.36
Lyot L,80080,-54.25,83.15,83.15
Gauricus,79640,-33.91,-12.74,347.26
Cyrano,79580,-20.37,157.37,157.37
Hagecius,79550,-59.92,46.63,46.63
Sniadecki Q,79490,-22.93,-170.27,189.73
Anaximander B,79100,68.08,-61.21,298.79
Zagut,78920,-31.94,21.89,21.89
Meton D,78770,72.16,24.46,24.46
Peary,78750,88.63,24.4,24.4
Hartwig,78460,-6.14,-80.47,279.53
Nasmyth,78370,-50.49,-56.39,303.61
Frost,78300,37.41,-118.9,241.1
Legendre,78080,-28.92,70.02,70.02
Rynin,77880,46.78,-103.73,256.27
Klute,77470,36.93,-141.76,218.24
Yamamoto,77460,58.16,161.87,161.87
Prager G,77450,-4.75,134.34,134.34
Cuvier,77300,-50.29,9.69,9.69
Mees Y,77280,15.73,-96.74,263.26
Bragg,77210,42.33,-103.44,256.56
Thebit P,77090,-24.06,-5.63,354.37
Montanari,77050,-45.83,-20.76,339.24
Clairaut,76890,-47.84,13.86,13.86
Houzeau,76840,-17.25,-123.89,236.11
Chapman,76830,50.09,-100.47,259.53
Esnault-Pelterie,76790,47.41,-141.83,218.17
Beijerinck,76770,-13.4,151.84,151.84
Birkhoff X,76580,61.62,-150.42,209.58
Mutus,76330,-63.65,29.93,29.93
Flammarion,76180,-3.33,-3.73,356.27
Chauvenet J,75700,-14.21,139.51,139.51
Licetus,75420,-47.19,6.54,6.54
Necho P,75310,-6.99,122.28,122.28
McLaughlin,75290,47.01,-92.83,267.17
Rozhdestvenskiy W,74960,85.89,114.64,114.64
Alekhin,74820,-67.94,-131.85,228.15
Cajori,74650,-47.67,168.7,168.7
Shternberg,74360,19.38,-116.82,243.18
Hedervari,74140,-81.77,85.6,85.6
Chappell,73920,54.53,-176.77,183.23
Vega,73510,-45.41,63.27,63.27
Oenopides,73470,57.13,-64.2,295.8
Deutsch,73330,24.35,110.91,110.91
Comstock,73230,21.59,-122.05,237.95
Avicenna,72990,39.63,-97.28,262.72
Nearch,72790,-58.58,39.01,39.01
Bolyai L,72670,-36.48,126.66,126.66
Pannekoek R,72640,-5.33,138.53,138.53
Schiller H,72440,-50.6,-37.74,322.26
Malapert,72380,-85,11.4,11.4
Denning R,72370,-16.97,141.3,141.3
Boltzmann,72310,-74.82,-90.41,269.59
Mineur,72280,24.67,-161.73,198.27
Riccius,71790,-37.02,26.43,26.43
Subbotin,71660,-29.32,135.71,135.71
Paraskevopoulos S,71450,48.57,-155.26,204.74
Young,71440,-41.54,50.98,50.98
Popov,71400,16.93,99.38,99.38
Lavoisier,71010,38.17,-81.25,278.75
Babbage D,70960,58.65,-61.17,298.83
Parrot,70660,-14.57,3.29,3.29
Nonius,70610,-34.9,3.79,3.79
Comrie K,70600,21.92,-112.57,247.43
Sirsalis E,70290,-8.16,-56.7,303.3
Pictet E,70080,-41.45,-7.87,352.13
Bohr,70070,12.71,-86.52,273.48
Espin,70010,28.15,109.34,109.34
Davy Y,69560,-11.05,-7.25,352.75
De Sitter L,69400,78.86,34.52,34.52
Evans,69400,-9.63,-133.78,226.22
Icarus D,69360,-4.55,-171.42,188.58
Balboa,69190,19.24,-83.31,276.69
Milne Q,69190,-34.37,107.66,107.66
Faraday,69030,-42.45,8.75,8.75
Florensky,69030,25.45,131.85,131.85
Helberg C,69030,23.37,-100.93,259.07
Simpelius,68890,-72.61,14.74,14.74
Henyey,68740,12.7,-152.33,207.67
Anaximander,68710,66.97,-51.44,308.56
Pontecoulant F,68680,-57.6,68.17,68.17
Brashear P,68650,-76.37,-176.32,183.68
Omar Khayyam,68640,58.21,-102.22,257.78
Gregory Q,68590,0.19,125.94,125.94
Oresme U,68430,-41.71,164.94,164.94
Fernelius,68420,-38.18,4.86,4.86
Titius,68420,-26.75,100.66,100.66
Danjon X,68230,-10.06,122.86,122.86
Hecataeus B,68090,-19.38,75.62,75.62
Lamb G,68030,-43.06,105.7,105.7
Poncelet C,67950,77.56,-74.5,285.5
Short,67940,-74.54,-7.68,352.32
Segner,67840,-58.96,-48.68,311.32
Joule L,67820,25.82,-143.89,216.11
Kiess,67790,-6.41,84.11,84.11
Poncelet,67570,75.91,-54.57,305.43
Pannekoek,67500,-4.2,140.69,140.69
La Caille,67220,-23.68,1.08,1.08
Wilsing,66800,-20.97,-155.05,204.95
Zsigmondy S,66760,59.36,-107.28,252.72
Planck Z,66750,-55.81,135.1,135.1
St. John,66740,10.07,149.98,149.98
Jeans N,66690,-58.52,90.62,90.62
Daedalus W,66650,-3.34,177.46,177.46
Wilson,66570,-69.33,-42.83,317.17
Weiss,66560,-31.76,-19.59,340.41
Polzunov,66530,25.57,115.01,115.01
Krylov A,66450,38.54,-165.21,194.79
Thiessen,66390,74.86,-169.5,190.5
Jacobi,66280,-56.82,11.3,11.3
Bronk,66160,25.9,-134.67,225.33
Endymion J,66050,53.51,50.71,50.71
Kugler,65870,-53.44,104.1,104.1
Keeler L,65650,-13.06,163.21,163.21
Aitken C,65610,-13.76,175.57,175.57
Winlock M,65490,32.04,-106.23,253.77
Barbier,65380,-23.85,157.93,157.93
Baco,65310,-51.04,19.1,19.1
Evershed,65280,35.3,-159.51,200.49
Poinsot,65110,78.9,-146.21,213.79
Gemma Frisius A,65100,-35.8,15.15,15.15
Duner,65070,44.68,179.46,179.46
Heinsius,64870,-39.48,-17.82,342.18
Alter,64730,18.74,-107.8,252.2
Brisbane Z,64730,-52.89,72.82,72.82
Hedin A,64650,5.4,-78.06,281.94
Schlesinger B,64450,51.02,-135.17,224.83
Wichmann R,64130,-6.64,-38.95,321.05
Fizeau S,64080,-58.66,-140.43,219.57
Gill,63900,-63.77,75.95,75.95
Gregory,63900,1.76,127.28,127.28
Euclides P,63820,-4.52,-27.69,332.31
Nassau D,63820,-23.67,-179.38,180.62
Paracelsus P,63780,-24.79,161.88,161.88
Erro,63750,5.68,98.54,98.54
Kidinnu E,63730,36.03,124.46,124.46
Lyot H,63590,-51.5,78,78
Chretien C,63580,-44.76,165.42,165.42
Boguslawsky B,63470,-73.98,61.12,61.12
Harlan,63450,-38.31,79.65,79.65
Babcock H,63400,3.11,96.51,96.51
Stetson,63120,-39.58,-118.2,241.8
Lampland,63040,-31.17,131.51,131.51
Fraunhofer J,62940,-42.31,63.41,63.41
Becquerel,62860,40.79,129.5,129.5
Edison,62720,24.88,99.27,99.27
Euctemon,62700,76.26,30.57,30.57
Paracelsus E,62610,-22.59,167.3,167.3
Newton G,62470,-78.08,-18.96,341.04
Artamonov,62450,25.44,103.79,103.79
Saenger B,62420,5.64,103.32,103.32
Teisserenc,62310,31.96,-136.28,223.72
Newton A,62260,-80.05,-20.82,339.18
Nishina,62130,-44.57,-170.8,189.2
Phillips D,61880,-25.04,70.8,70.8
Phillips W,61650,-25.15,72.23,72.23
Nansen F,61620,84.95,62.44,62.44
Kramers,61590,53.28,-127.98,232.02
Peirescius,61530,-46.4,67.8,67.8
Boole,61340,63.79,-87.29,272.71
Schumacher,61310,42.42,60.81,60.81
Artem'ev G,60940,10.01,-143.69,216.31
Olivier N,60770,56.63,137.08,137.08
Guericke,60750,-11.57,-14.19,345.81
Pavlov M,60640,-32.47,141.95,141.95
Maestlin R,60420,3.53,-41.47,318.53
Pictet,59950,-43.56,-7.49,352.51
Blanchinus,59900,-25.32,2.44,2.44
Saha C,59900,1.45,108.22,108.22
Idel'son,59820,-81.35,112.69,112.69
Drebbel E,59800,-38.21,-51.48,308.52
Hanno,59540,-56.46,71.38,71.38
Watson,59430,-62.59,-124.05,235.95
Bonpland,59250,-8.38,-17.33,342.67
Al-Khwarizmi B,59060,9.09,107.92,107.92
Vernadskiy X,58570,25.82,129,129
Daedalus C,58360,-4.15,-178.91,181.09
Lade,58110,-1.33,9.99,9.99
Schorr A,58060,-20.38,88.16,88.16
Murchison,57830,5.07,-0.21,359.79
Fraunhofer,57750,-39.52,59.06,59.06
McLaughlin C,57550,48.17,-91.79,268.21
Brisbane E,57350,-50.26,71.41,71.41
Curtius D,57190,-64.7,8.35,8.35
Morozov F,56010,4.92,130.2,130.2
Seidel,55390,-32.65,152.47,152.47
Hagecius A,54330,-58.26,47.1,47.1
Balboa B,54250,20.49,-82.57,277.43
Prager,53900,-3.99,130.78,130.78
Reimarus,47620,-47.69,60.42,60.42
Rosenberger C,46670,-52.28,42.2,42.2
Krusenstern,46440,-26.3,5.76,5.76
Van Maanen,46420,36.03,128.18,128.18
Fraunhofer E,44730,-43.2,61.57,61.57
Brisbane,44320,-49.2,68.76,68.76
Peirescius D,42800,-48.17,72.11,72.11
Asclepi,40560,-55.19,25.52,25.52
Daedalus R,37560,-7.65,175.24,175.24
Rosenberger B,33760,-52.06,46.21,46.21
Reimarus R,33220,-47.65,64,64
Daedalus U,28820,-4.16,174.87,174.87
Serenitatis,920000,26,18,18
Nectaris,860000,-16,34,34
Crisium,740000,18,59,59
Humboldtianum,650000,59,82,82
Mendel-Rydberg,630000,-50,-94,266
Hertzsprung,536370,1.37,-128.66,231.34
Moscoviense,445000,26,148,148
Humorum,425000,-24,-39,321
Korolev,423410,-4.19,-157.41,202.59
Mendeleev,325130,5.38,141.17,141.17
Sikorsky-Rittenhouse,310000,-68,111,111
Bailly,300560,-66.82,-68.9,291.1
Van de Graaff,240470,-27.04,172.01,172.01
d'Alembert,233550,51.07,164.89,164.89
Clavius,230770,-58.62,-14.73,345.27
Bel'kovich,215080,61.53,90.15,90.15
Schwarzschild,211420,70.08,121.57,121.57
Oppenheimer,201160,-35.32,-166.03,193.97
Zeeman,186560,-75.07,-135.06,224.94
Schiller,179360,-51.72,-39.78,320.22
Chebyshev,179050,-34.01,-132.88,227.12
Hilbert,173240,-17.87,108.32,108.32
Gauss,170720,36.01,79.08,79.08
Rowland,166120,56.98,-162.48,197.52
Roche,152670,-42.37,136.54,136.54
Sommerfeld,150890,64.83,-161.54,198.46
Fersman,148140,17.9,-126.06,233.94
Longomontanus,145500,-49.55,-21.88,338.12
Neper,144320,8.76,84.58,84.58
Pavlov,143050,-28.28,142.4,142.4
Mendel,139650,-48.83,-109.86,250.14
Hecataeus,133670,-22.06,79.68,79.68
Albategnius,130840,-11.24,4.01,4.01
Cleomedes,130770,27.6,55.5,55.5
Poynting,127550,17.5,-133.38,226.62
Fleming,126370,14.91,109.28,109.28
Carnot,126060,52.09,-144.2,215.8
Leeuwenhoek,125000,-29.28,-178.87,181.13
Chaplygin,123390,-5.76,150.24,150.24
Michelson,123140,6.72,-121.55,238.45
Endymion,122100,53.61,56.48,56.48
Demonax,121930,-78.09,59.36,59.36
Nernst,121520,35.57,-94.64,265.36
Fracastorius,120580,-21.36,33.07,33.07
Nansen,116900,81.17,95.38,95.38
Maurolycus,115350,-41.77,13.92,13.92
Phocylides,115180,-52.79,-57.31,302.69
Gamow,113920,65.29,144.65,144.65
Hevelius,113870,2.2,-67.46,292.54
Wiener,113390,40.9,146.51,146.51
Alden,111440,-23.51,111.11,111.11
Gassendi,111390,-17.55,-39.96,320.04
Kurchatov,110960,38.3,141.74,141.74
Alphonsus,110540,-13.39,-2.85,357.15
Charlier,109880,36.22,-131.69,228.31
Maxwell,109240,29.9,98.53,98.53
Pascal,108200,74.36,-70.63,289.37
Blancanus,105820,-63.77,-21.63,338.37
Buffon,105760,-40.64,-133.53,226.47
Numerov,105390,-70.52,-162.2,197.8
Anderson,105330,15.5,170.79,170.79
Fitzgerald,104210,26.67,-172.14,187.86
Phillips,104210,-26.57,75.67,75.67
Lamb,103550,-42.67,100.94,100.94
Amundsen,103390,-84.44,83.07,83.07
Saha,103340,-1.69,103.04,103.04
Seyfert,102630,29.26,114.34,114.34
Kovalevskaya Q,100630,29.18,-131.44,228.56
Pitatus,100630,-29.88,-13.53,346.47
Schuster,100080,4.44,146.42,146.42
Larmor,99490,31.85,-179.67,180.33
Curtius,99290,-67.08,4.4,4.4
Catharina,98770,-17.98,23.55,23.55
Cyrillus,98090,-13.29,24.07,24.07
Sikorsky,97670,-65.89,103.65,103.65
Joule,97520,27.15,-144.14,215.86
Neujmin,97030,-26.68,125.17,125.17
Vavilov D,96200,0.03,-137.48,222.52
Wegener,95780,45.21,-113.81,246.19
Inghirami,94600,-47.49,-68.95,291.05
Milankovic,94210,76.53,171.35,171.35
Millikan,93970,46.76,121.52,121.52
Icarus,93730,-5.49,-173.26,186.74
Lemaitre,93700,-61.36,-149.98,210.02
Vasco da Gama,93520,13.78,-83.94,276.06
Petzval,93470,-62.73,-110.83,249.17
Goddard,93180,15.15,89.13,89.13
Bose,92550,-53.95,-169.36,190.64
Papaleksi,92030,10.15,163.95,163.95
Kibal'chich,91670,2.72,-147.18,212.82
Langmuir,91500,-35.85,-128.89,231.11
Ansgarius,91420,-12.92,79.72,79.72
Pontecoulant,91400,-58.78,66.07,66.07
Gerasimovich,90190,-22.95,-123.42,236.58
Coulomb,89720,54.46,-115,245
Vening Meinesz,88690,-0.1,162.51,162.51
McMath,88580,16.63,-166.09,193.91
Pingre,88430,-58.64,-73.95,286.05
Hopmann,87840,-51.01,159.23,159.23
Paschen M,87840,-16.3,-140.62,219.38
Torricelli R,87640,-5.24,28.14,28.14
Berkner,87620,25.13,-105.24,254.76
Prandtl,87530,-59.62,141.54,141.54
Perrine,87410,42.11,-127.95,232.05
Meitner,87270,-10.87,113.1,113.1
Vieta,87160,-29.31,-56.53,303.47
Bell,86330,21.98,-96.53,263.47
Snellius,85980,-29.33,55.7,55.7
Cremona,85120,67.24,-90.86,269.14
Wargentin,84690,-49.53,-60.44,299.56
Byrgius,84460,-24.73,-65.38,294.62
Mersenius,84460,-21.49,-49.34,310.66
Neumayer,84380,-71.16,70.92,70.92
Lame,84280,-14.76,64.56,64.56
Smoluchowski,84260,60.22,-96.91,263.09
Wood,84150,43.66,-121.83,238.17
Rocca,84060,-12.89,-72.89,287.11
Newton,83850,-76.52,-17.44,342.56
Metius,83810,-40.42,43.37,43.37
Freundlich,83160,25,170.89,170.89
Hertz,82940,13.32,104.56,104.56
Hase,82080,-29.37,62.68,62.68
Zhukovskiy,82070,7.55,-167.28,192.72
Bridgman,81890,43.39,136.98,136.98
Hubble,81840,22.29,86.91,86.91
Ley,81050,42.11,154.84,154.84
Komarov,80430,24.59,152.25,152.25
Al-Biruni,80410,18.07,92.62,92.62
Pitiscus,79850,-50.61,30.57,30.57
Aliacensis,79650,-30.6,5.13,5.13
Colombo,79020,-15.26,46.02,46.02
Kolhorster,78780,10.79,-115.01,244.99
Gibbs,78760,-18.37,84.27,84.27
Oken,78670,-43.76,76.09,76.09
Coriolis,78560,0.56,171.8,171.8
Olivier,78450,58.72,138.44,138.44
Holetschek R,77850,-29.13,147.83,147.83
Chauvenet,77670,-11.64,137.2,137.2
Ganswindt,77520,-79.42,111.17,111.17
Schliemann,77400,-1.99,155.12,155.12
Biela,77030,-54.99,51.63,51.63
Petermann,76950,74.35,67.89,67.89
Galvani,76830,49.51,-84.56,275.44
Trumpler,76170,29.33,167.14,167.14
Nassau,75800,-24.91,177.34,177.34
Plummer,75700,-24.62,-154.86,205.14
De Sitter M,75520,81.11,37.57,37.57
Backlund,75460,-16.22,103.35,103.35
Boussingault A,75400,-69.96,53.87,53.87
Berosus,75240,33.5,69.99,69.99
Razumov,75080,38.95,-114.63,245.37
Waterman,74910,-25.7,128.18,128.18
Condorcet,74850,12.1,69.58,69.58
Saenger,74570,4.49,102.8,102.8
Moiseev Z,74100,11.19,103.38,103.38
Einthoven,73940,-5.06,110.06,110.06
Jansky,73770,8.63,89.5,89.5
Goclenius,73040,-10.05,45.03,45.03
Olbers,73020,7.3,-76.14,283.86
Orlov,72930,-25.77,-175.08,184.92
Obruchev,72230,-38.67,162.43,162.43
Racah,71910,-13.5,-179.87,180.13
Pingre S,71530,-60.33,-82.39,277.61
Sarton,71330,49.12,-121.14,238.86
Kircher,71200,-67.01,-45.48,314.52
Rheita,70810,-37.1,47.17,47.17
Gutenberg,70650,-8.61,41.25,41.25
Hainzel,70560,-41.23,-33.52,326.48
Bhabha,70250,-55.5,-165.31,194.69
Kamerlingh Onnes,70030,14.72,-116.29,243.71
Stratton,69760,-5.6,164.7,164.7
Leavitt,69310,-44.86,-139.89,220.11
Danjon,69300,-11.42,123.9,123.9
Dziewulski,68900,20.99,99.02,99.02
Zach,68540,-60.92,5.25,5.25
Le Monnier,68400,26.66,30.5,30.5
Raimond,68370,14.78,-159.63,200.37
Konstantinov,68080,19.56,158.34,158.34
Kostinskiy,67910,14.43,118.85,118.85
Rosseland,67660,-40.82,130.68,130.68
Lyapunov,67580,26.43,89.36,89.36
Crocco,67500,-46.98,150.51,150.51
Cori,67220,-50.48,-152.91,207.09
Sierpinski,66940,-26.93,154.81,154.81
Barringer,66890,-28.22,-150.43,209.57
Zsigmondy,66880,59.52,-105.3,254.7
Zeno,66780,45.15,72.98,72.98
Watt,66540,-49.6,48.48,48.48
Korolev C,66470,-0.73,-153.22,206.78
Buys-Ballot,66380,20.86,174.82,174.82
Agatharchides P,65980,-20.3,-28.77,331.23
Meshcherskiy,65940,12.11,125.53,125.53
Huggins,65790,-41.07,-1.52,358.48
Gadomski,65660,36.21,-147.36,212.64
Chandler P,65590,41.54,170.15,170.15
Tseraskiy,65590,-48.66,142.64,142.64
Doppelmayer,65080,-28.48,-41.51,318.49
Valier,65060,6.65,174.26,174.26
